la habitación;абітасьйон;las habitaciones;house_and_home;habitación;кімната;noun;абітасьйон
el dormitorio;дорміторіо;los dormitorios;house_and_home;dormitorio;спальня;noun;дорміторіо
el salón;салон;los salones;house_and_home;salón;вітальня;noun;салон
el comedor;комедор;los comedores;house_and_home;comedor;їдальня;noun;комедор
la terraza;терраса;las terrazas;house_and_home;terraza;тераса;noun;терраса
el pasillo;пасійо;los pasillos;house_and_home;pasillo;коридор;noun;пасійо
el estudio;естудіо;los estudios;house_and_home;estudio;кабінет;noun;естудіо
el garaje;гарахе;los garajes;house_and_home;garaje;гараж;noun;гарахе
el balcón;балкон;los balcones;house_and_home;balcón;балкон;noun;балкон
el sótano;сотано;los sótanos;house_and_home;sótano;підвал;noun;сотано
el ático;атіко;los áticos;house_and_home;ático;горище;noun;атіко
el recibidor;ресібідор;los recibidores;house_and_home;recibidor;передпокій;noun;ресібідор
la despensa;деспенса;las despensas;house_and_home;despensa;комора;noun;деспенса
el aseo;асео;los aseos;house_and_home;aseo;туалет;noun;асео
el lavadero;лабадеро;los lavaderos;house_and_home;lavadero;пральня;noun;лабадеро
la buhardilla;буардійя;las buhardillas;house_and_home;buhardilla;мансарда;noun;буардійя
la sala;сала;las salas;house_and_home;sala;вітальня;noun;сала
el vestíbulo;вестібуло;los vestíbulos;house_and_home;vestíbulo;вестибюль;noun;вестібуло
la biblioteca;бібліотека;las bibliotecas;house_and_home;biblioteca;бібліотека;noun;бібліотека
el despacho;деспачо;los despachos;house_and_home;despacho;кабінет;noun;деспачо
el trastero;трастеро;los trasteros;house_and_home;trastero;комірчина;noun;трастеро
la mesa;меса;las mesas;house_and_home;mesa;стіл;noun;меса
la silla;сійя;las sillas;house_and_home;silla;стілець;noun;сійя
el sofá;софа;los sofás;house_and_home;sofá;диван;noun;софа
el sillón;сійон;los sillones;house_and_home;sillón;крісло;noun;сійон
el armario;армаріо;los armarios;house_and_home;armario;шафа;noun;армаріо
la cómoda;комода;las cómodas;house_and_home;cómoda;комод;noun;комода
la estantería;естантерія;las estanterías;house_and_home;estantería;книжкова полиця;noun;естантерія
la librería;лібрерія;las librerías;house_and_home;librería;книжкова шафа;noun;лібрерія
el escritorio;ескріторіо;los escritorios;house_and_home;escritorio;письмовий стіл;noun;ескріторіо
la butaca;бутака;las butacas;house_and_home;butaca;крісло;noun;бутака
la banqueta;банкета;las banquetas;house_and_home;banqueta;табурет;noun;банкета
la alfombra;альфомбра;las alfombras;house_and_home;alfombra;килим;noun;альфомбра
la cortina;кортіна;las cortinas;house_and_home;cortina;штора;noun;кортіна
la persiana;персіана;las persianas;house_and_home;persiana;жалюзі;noun;персіана
la lámpara;лампара;las lámparas;house_and_home;lámpara;лампа;noun;лампара
el cuadro;куадро;los cuadros;house_and_home;cuadro;картина;noun;куадро
la planta;планта;las plantas;house_and_home;planta;рослина;noun;планта
el jarrón;харрон;los jarrones;house_and_home;jarrón;ваза;noun;харрон
la nevera;небера;las neveras;house_and_home;nevera;холодильник;noun;небера
el horno;орно;los hornos;house_and_home;horno;духовка;noun;орно
la vitrocerámica;вітросераміка;las vitrocerámicas;house_and_home;vitrocerámica;склокерамічна плита;noun;вітросераміка
la campana;кампана;las campanas;house_and_home;campana;витяжка;noun;кампана
el fregadero;фрегадеро;los fregaderos;house_and_home;fregadero;кухонна мийка;noun;фрегадеро
el lavavajillas;лабабахійяс;los lavavajillas;house_and_home;lavavajillas;посудомийна машина;noun;лабабахійяс
