der Kopf;голова;die Köpfe;health;Kopf;голова;noun;копф
das Augenlid;повіка;die Augenlider;health;Auge + Lid;повіка;noun;аугенлід
die Zunge;язик;die Zungen;health;Zunge;язик;noun;цунге
der Hals;шия;die Hälse;health;Hals;шия;noun;гальс
die Schulter;плече;die Schultern;health;Schulter;плече;noun;шультер
der Arm;рука;die Arme;health;Arm;рука;noun;арм
der Ellbogen;лікоть;die Ellbogen;health;Elle + Bogen;лікоть;noun;ельбоген
der Unterarm;передпліччя;die Unterarme;health;Unter + Arm;передпліччя;noun;унтерарм
das Handgelenk;зап'ястя;die Handgelenke;health;Hand + Gelenk;зап'ястя;noun;гандгеленк
die Hand;кисть;die Hände;health;Hand;кисть;noun;ганд
der Finger;палець;die Finger;health;Finger;палець;noun;фінгер
der Daumen;великий палець;die Daumen;health;Daumen;великий палець;noun;даумен
der Zeigefinger;вказівний палець;die Zeigefinger;health;Zeige + Finger;вказівний палець;noun;цайгефінгер
der Mittelfinger;середній палець;die Mittelfinger;health;Mittel + Finger;середній палець;noun;міттельфінгер
der Ringfinger;безіменний палець;die Ringfinger;health;Ring + Finger;безіменний палець;noun;рінгфінгер
der kleine Finger;мізинець;die kleinen Finger;health;klein + Finger;мізинець;noun;кляйне фінгер
das Bein;нога;die Beine;health;Bein;нога;noun;байн
der Oberschenkel;стегно;die Oberschenkel;health;Ober + Schenkel;стегно;noun;обершенкель
der Unterschenkel;гомілка;die Unterschenkel;health;Unter + Schenkel;гомілка;noun;унтершенкель
das Knie;коліно;die Knie;health;Knie;коліно;noun;кні
die Wade;литка;die Waden;health;Wade;литка;noun;ваде
der Knöchel;щиколотка;die Knöchel;health;Knöchel;щиколотка;noun;кнехель
der Fuß;стопа;die Füße;health;Fuß;стопа;noun;фус
die Ferse;п'ята;die Fersen;health;Ferse;п'ята;noun;ферзе
die Zehe;палець ноги;die Zehen;health;Zehe;палець ноги;noun;цее
der Fußnagel;ніготь на нозі;die Fußnägel;health;Fuß + Nagel;ніготь на нозі;noun;фуснагель
der Fingernagel;ніготь на руці;die Fingernägel;health;Finger + Nagel;ніготь на руці;noun;фінгернагель
der Brustkorb;грудна клітка;die Brustkörbe;health;Brust + Korb;грудна клітка;noun;брусткорб
die Brust;груди;die Brüste;health;Brust;груди;noun;бруст
der Bauch;живіт;die Bäuche;health;Bauch;живіт;noun;баух
der Rücken;спина;die Rücken;health;Rücken;спина;noun;рюкен
die Wirbelsäule;хребет;die Wirbelsäulen;health;Wirbel + Säule;хребет;noun;вірбельзойле
die Lunge;легеня;die Lungen;health;Lunge;легеня;noun;лунге
die Leber;печінка;die Lebern;health;Leber;печінка;noun;лебер
die Niere;нирка;die Nieren;health;Niere;нирка;noun;ніре
das Blut;кров;;health;Blut;кров;noun;блут
die Krankheit;хвороба;die Krankheiten;health;Krankheit;хвороба;noun;кранкхайт
die Grippe;грип;die Grippen;health;Grippe;грип;noun;гріппе
die Erkältung;застуда;die Erkältungen;health;Erkältung;застуда;noun;еркельтунг
der Schnupfen;нежить;die Schnupfen;health;Schnupfen;нежить;noun;шнупфен
der Husten;кашель;die Husten;health;Husten;кашель;noun;хустен
das Fieber;температура;;health;Fieber;температура;noun;фібер
die Halsschmerzen;біль у горлі;;health;Halsschmerz;біль у горлі;noun;хальсшмерцен
die Kopfschmerzen;головний біль;;health;Kopfschmerz;головний біль;noun;копфшмерцен
die Bauchschmerzen;біль у животі;;health;Bauchschmerz;біль у животі;noun;баухшмерцен
die Übelkeit;нудота;;health;Übelkeit;нудота;noun;юбелькайт
der Durchfall;діарея;die Durchfälle;health;Durchfall;діарея;noun;дурхфаль
die Verstopfung;запор;die Verstopfungen;health;Verstopfung;запор;noun;ферштопфунг
das Asthma;астма;;health;Asthma;астма;noun;астма
die Allergie;алергія;die Allergien;health;Allergie;алергія;noun;алергі
der Ausschlag;висип;die Ausschläge;health;Ausschlag;висип;noun;аусшлаг
die Blase;пухир;die Blasen;health;Blase;пухир;noun;блазе
die Schwellung;набряк;die Schwellungen;health;Schwellung;набряк;noun;швелюнг
die Entzündung;запалення;die Entzündungen;health;Entzündung;запалення;noun;ентцюндунг
der Juckreiz;свербіж;die Juckreize;health;Juckreiz;свербіж;noun;юкрайц
der Schmerz;біль;die Schmerzen;health;Schmerz;біль;noun;шмерц
das Symptom;симптом;die Symptome;health;Symptom;симптом;noun;зюмптом
