la primavera;весна;las primaveras;weather;primavera;весна;noun;примавера
el verano;літо;los veranos;weather;verano;літо;noun;берано
el otoño;осінь;los otoños;weather;otoño;осінь;noun;отоньо
el invierno;зима;los inviernos;weather;invierno;зима;noun;імб'єрно
el tiempo;погода;;weather;tiempo;погода;noun;тьємпо
la temperatura;температура;las temperaturas;weather;temperatura;температура;noun;температура
el calor;спека;;weather;calor;спека;noun;калор
el viento;вітер;los vientos;weather;viento;вітер;noun;б'єнто
la lluvia;дощ;las lluvias;weather;lluvia;дощ;noun;йувія
la nieve;сніг;las nieves;weather;nieve;сніг;noun;ньєве
el granizo;град;los granizos;weather;granizo;град;noun;гранісо
la tormenta;буря;las tormentas;weather;tormenta;буря;noun;тормента
el huracán;ураган;los huracanes;weather;huracán;ураган;noun;уракан
el tornado;торнадо;los tornados;weather;tornado;торнадо;noun;торнадо
la sequía;посуха;las sequías;weather;sequía;посуха;noun;секія
la inundación;повінь;las inundaciones;weather;inundación;повінь;noun;інундасьйон
la nube;хмара;las nubes;weather;nube;хмара;noun;нубе
el sol;сонце;los soles;weather;sol;сонце;noun;соль
el cielo;небо;los cielos;weather;cielo;небо;noun;сьєло
la niebla;туман;las nieblas;weather;niebla;туман;noun;ньєбла
la neblina;серпанок;las neblinas;weather;neblina;серпанок;noun;небліна
la humedad;вологість;;weather;humedad;вологість;noun;умедад
la presión;тиск;las presiones;weather;presión;тиск;noun;пресьйон
el rayo;блискавка;los rayos;weather;rayo;блискавка;noun;райо
el relámpago;спалах блискавки;los relámpagos;weather;relámpago;спалах блискавки;noun;релампаго
el trueno;грім;los truenos;weather;trueno;грім;noun;труено
el chubasco;злива;los chubascos;weather;chubasco;злива;noun;чубаско
la llovizna;мряка;las lloviznas;weather;llovizna;мряка;noun;йовісна
el aguacero;злива;los aguaceros;weather;aguacero;злива;noun;агуасеро
la brisa;бриз;las brisas;weather;brisa;бриз;noun;бріса
el vendaval;штормовий вітер;los vendavales;weather;vendaval;штормовий вітер;noun;бендаваль
el monzón;мусон;los monzones;weather;monzón;мусон;noun;монсон
la calima;імла;las calimas;weather;calima;імла;noun;каліма
la helada;заморозок;las heladas;weather;helada;заморозок;noun;елада
el deshielo;відлига;;weather;deshielo;відлига;noun;десьєло
el bochorno;задуха;los bochornos;weather;bochorno;задуха;noun;бочорно
la escarcha;іній;las escarchas;weather;escarcha;іній;noun;ескарча
soleado;сонячний;;weather;soleado;сонячний;adj;солеадо
nublado;хмарний;;weather;nublado;хмарний;adj;нубладо
lluvioso;дощовий;;weather;lluvioso;дощовий;adj;йувіосо
ventoso;вітряний;;weather;ventoso;вітряний;adj;бентосо
húmedo;вологий;;weather;húmedo;вологий;adj;умедо
llover;дощити;;weather;llover;дощити;verb (-er);йовер
nevar;сніжити;;weather;nevar;сніжити;verb (-ar);небар
granizar;градити;;weather;granizar;градити;verb (-ar);гранісар
soplar;дути;;weather;soplar;дути;verb (-ar);соплар
helar;морозити;;weather;helar;морозити;verb (-ar);елар
el pronóstico;прогноз;los pronósticos;weather;pronóstico;прогноз;noun;проностіко
el arcoíris;веселка;los arcoíris;weather;arcoíris;веселка;noun;аркоіріс
la ráfaga;порив;las ráfagas;weather;ráfaga;порив;noun;рафага
el boletín meteorológico;метеорологічний бюлетень;los boletines meteorológicos;weather;boletín;бюлетень;noun;болетін
el meteorólogo;метеоролог;los meteorólogos;weather;meteorólogo;метеоролог;noun;метеоролого
la previsión;прогноз;las previsiones;weather;previsión;прогноз;noun;превісйон
la borrasca;шторм;las borrascas;weather;borrasca;шторм;noun;борраска
la depresión;депресія;las depresiones;weather;depresión;депресія;noun;депресйон
pronosticar;прогнозувати;;weather;pronosticar;прогнозувати;verb (-ar);проностікар
nublarse;захмарюватися;;weather;nublar;захмарювати;verb (-ar);нублар
empeorar;погіршуватися;;weather;empeorar;погіршувати;verb (-ar);емпеорар
mejorar;покращуватися;;weather;mejorar;покращувати;verb (-ar);мехорар
tormentoso;штормовий;;weather;tormentoso;штормовий;adj;торментосо
caluroso;спекотний;;weather;caluroso;спекотний;adj;калуросо
seco;сухий;;weather;seco;сухий;adj;секо
variable;мінливий;;weather;variable;мінливий;adj;баріабле
el sismo;землетрус;los sismos;weather;sismo;землетрус;noun;сісмо
el temblor;тремтіння;los temblores;weather;temblor;тремтіння;noun;темблор
la réplica;повторний поштовх;las réplicas;weather;réplica;повторний поштовх;noun;репліка
