el periódico;газета;los periódicos;society;periódico;газета;noun;перйодіко
la noticia;новина;las noticias;society;noticia;новина;noun;нотісія
la revista;журнал;las revistas;society;revista;журнал;noun;ревіста
la portada;перша сторінка;las portadas;society;portada;обкладинка;noun;портада
el titular;заголовок;los titulares;society;titular;заголовок;noun;тітулар
la sección;розділ;las secciones;society;sección;розділ;noun;сексьйон
la columna;колонка;las columnas;society;columna;колонка;noun;колюмна
el editorial;передова стаття;los editoriales;society;editorial;редакційна стаття;noun;едіторіаль
el reportaje;репортаж;los reportajes;society;reportaje;репортаж;noun;репорта́хе
el anuncio;оголошення;los anuncios;society;anuncio;оголошення;noun;анунсіо
la publicidad;реклама;;society;publicidad;реклама;noun;публісідад
la prensa;преса;;society;prensa;преса;noun;пренса
la radio;радіо;las radios;society;radio;радіо;noun;радіо
la televisión;телебачення;las televisiones;society;televisión;телебачення;noun;телевісьйон
la cadena;мережа;las cadenas;society;cadena;мережа;noun;кадена
la emisora;радіостанція;las emisoras;society;emisora;радіостанція;noun;емісора
el informativo;випуск новин;los informativos;society;informativo;інформаційний випуск;noun;інформатіво
el telediario;теленовини;los telediarios;society;telediario;теленовини;noun;теледіаріо
el comunicado;повідомлення;los comunicados;society;comunicado;повідомлення;noun;комунікадо
la rueda de prensa;пресконференція;las ruedas de prensa;society;rueda de prensa;пресконференція;noun;руеда де пренса
el corresponsal;кореспондент;los corresponsales;society;corresponsal;кореспондент;noun;корреспонсаль
el fotógrafo;фотограф;los fotógrafos;society;fotógrafo;фотограф;noun;фотографо
la retransmisión;трансляція;las retransmisiones;society;retransmisión;трансляція;noun;ретрансмісьйон
el vídeo;відео;los vídeos;society;vídeo;відео;noun;відео
la página web;вебсторінка;las páginas web;society;página web;вебсторінка;noun;пахіна веб
el enlace;посилання;los enlaces;society;enlace;посилання;noun;енласе
el blog;блог;los blogs;society;blog;блог;noun;блог
el tuit;твіт;los tuits;society;tuit;твіт;noun;туіт
el foro;форум;los foros;society;foro;форум;noun;форо
el quiosco;газетний кіоск;los quioscos;society;quiosco;кіоск;noun;кіоско
la suscripción;підписка;las suscripciones;society;suscripción;підписка;noun;сускріпсьйон
el lector;читач;los lectores;society;lector;читач;noun;лектор
la audiencia;аудиторія;las audiencias;society;audiencia;аудиторія;noun;аудьєнсія
el telespectador;телеглядач;los telespectadores;society;telespectador;телеглядач;noun;телеспектадор
informar;інформувати;;society;informar;інформувати;verb (-ar);інформар
publicar;публікувати;;society;publicar;публікувати;verb (-ar);публікар
actual;актуальний;;society;actual;актуальний;adj;актуаль
el voto;голос;los votos;society;voto;голос;noun;вото
la elección;вибори;las elecciones;society;elección;вибори;noun;елексйон
votar;голосувати;;society;votar;голосувати;verb (-ar);вотар
el partido;партія;los partidos;society;partido;партія;noun;партідо
la candidata;кандидатка;las candidatas;society;candidata;кандидатка;noun;кандідата
la campaña;виборча кампанія;las campañas;society;campaña;кампанія;noun;кампа́нья
el gobierno;уряд;los gobiernos;society;gobierno;уряд;noun;гоб'єрно
el parlamento;парламент;los parlamentos;society;parlamento;парламент;noun;парламенто
el presidente;президент;los presidentes;society;presidente;президент;noun;пресіденте
la presidenta;президентка;las presidentas;society;presidenta;президентка;noun;пресідента
el senado;сенат;los senados;society;senado;сенат;noun;сенадо
el congreso;конгрес;los congresos;society;congreso;конгрес;noun;конгресо
la democracia;демократія;las democracias;society;democracia;демократія;noun;демокра́сія
la dictadura;диктатура;las dictaduras;society;dictadura;диктатура;noun;діктадура
el dictador;диктатор;los dictadores;society;dictador;диктатор;noun;діктадо́р
la monarquía;монархія;las monarquías;society;monarquía;монархія;noun;монаркі́я
la república;республіка;las repúblicas;society;república;республіка;noun;републіка
el rey;король;los reyes;society;rey;король;noun;рей
la reina;королева;las reinas;society;reina;королева;noun;ре́йна
la constitución;конституція;las constituciones;society;constitución;конституція;noun;констітусьйон
el referéndum;референдум;los referéndums;society;referéndum;референдум;noun;референдум
el sufragio;виборче право;los sufragios;society;sufragio;виборче право;noun;суфра́хіо
la urna;урна;las urnas;society;urna;урна;noun;у́рна
la papeleta;бюлетень;las papeletas;society;papeleta;бюлетень;noun;папеле́та
la abstención;утримання;las abstenciones;society;abstención;утримання;noun;абстенсьйон
el censo;перепис;los censos;society;censo;перепис;noun;се́нсо
el padrón;список виборців;los padrones;society;padrón;список виборців;noun;падро́н
el mitin;мітинг;los mítines;society;mitin;мітинг;noun;мі́тін
la manifestación;демонстрація;las manifestaciones;society;manifestación;демонстрація;noun;маніфестасьйон
protestar;протестувати;;society;protestar;протестувати;verb (-ar);протестар
el político;політик;los políticos;society;político;політик;noun;полі́тіко
el alcalde;мер;los alcaldes;society;alcalde;мер;noun;алька́льде
la alcaldesa;мерка;las alcaldesas;society;alcaldesa;мерка;noun;алькальде́са
el diputado;депутат;los diputados;society;diputado;депутат;noun;діпута́до
la diputada;депутатка;las diputadas;society;diputada;депутатка;noun;діпута́да
el senador;сенатор;los senadores;society;senador;сенатор;noun;сенадо́р
el concejal;член ради;los concejales;society;concejal;член ради;noun;консеха́ль
el ministro;міністр;los ministros;society;ministro;міністр;noun;міні́стро
la ministra;міністерка;las ministras;society;ministra;міністерка;noun;міні́стра
la sesión;сесія;las sesiones;society;sesión;сесія;noun;сесьйон
la mayoría;більшість;las mayorías;society;mayoría;більшість;noun;махорі́а
la minoría;меншість;las minorías;society;minoría;меншість;noun;мінорі́а
el delito;правопорушення;los delitos;society;delito;правопорушення;noun;деліто
la ley;закон;las leyes;society;ley;закон;noun;лей
la jueza;суддя;las juezas;society;jueza;суддя;noun;хуеса
la abogada;адвокат;las abogadas;society;abogada;адвокат;noun;абогада
el tribunal;трибунал;los tribunales;society;tribunal;трибунал;noun;трібуналь
la sentencia;вирок;las sentencias;society;sentencia;вирок;noun;сентенсіа
el acusado;обвинувачений;los acusados;society;acusado;обвинувачений;noun;акусадо
la acusada;обвинувачена;las acusadas;society;acusada;обвинувачена;noun;акусада
el sospechoso;підозрюваний;los sospechosos;society;sospechoso;підозрюваний;noun;соспечосо
la sospechosa;підозрювана;las sospechosas;society;sospechosa;підозрювана;noun;соспечоса
el hurto;крадіжка;los hurtos;society;hurto;крадіжка;noun;урто
la estafa;шахрайство;las estafas;society;estafa;шахрайство;noun;естафа
la violación;зґвалтування;las violaciones;society;violación;зґвалтування;noun;віоласьон
el fraude;шахрайство;los fraudes;society;fraude;шахрайство;noun;фрауде
la asesina;вбивця;las asesinas;society;asesina;вбивця;noun;асесіна
el detective;детектив;los detectives;society;detective;детектив;noun;детектіве
el jurado;присяжні;los jurados;society;jurado;присяжні;noun;хурадо
el veredicto;вердикт;los veredictos;society;veredicto;вердикт;noun;вередикто
la apelación;апеляція;las apelaciones;society;apelación;апеляція;noun;апеласьон
la condena;засудження;las condenas;society;condena;засудження;noun;кондена
la absolución;виправдання;las absoluciones;society;absolución;виправдання;noun;абсолюсьон
el indulto;помилування;los indultos;society;indulto;помилування;noun;індульто
la pena;покарання;las penas;society;pena;покарання;noun;пена
el delincuente;злочинець;los delincuentes;society;delincuente;злочинець;noun;делінкуенте
el abuso;зловживання;los abusos;society;abuso;зловживання;noun;абусо
la declaración;заява;las declaraciones;society;declaración;заява;noun;декларасьон
el juzgado;суд;los juzgados;society;juzgado;суд;noun;хусгадо
el preso;в'язень;los presos;society;preso;в'язень;noun;пресо
la presa;в'язень;las presas;society;presa;в'язень;noun;преса
