das Hobby;хобі;die Hobbys;free_time;Hobby;хобі;noun;гобі
die Freizeit;вільний час;;free_time;Freizeit;вільний час;noun;фрайцайт
der Sport;спорт;;free_time;Sport;спорт;noun;шпорт
die Musik;музика;;free_time;Musik;музика;noun;музік
das Instrument;інструмент;die Instrumente;free_time;Instrument;інструмент;noun;інструмент
die Gitarre;гітара;die Gitarren;free_time;Gitarre;гітара;noun;гітаре
das Klavier;піаніно;die Klaviere;free_time;Klavier;піаніно;noun;клавір
das Schach;шахи;;free_time;Schach;шахи;noun;шах
das Kartenspiel;картярська гра;die Kartenspiele;free_time;Karten + Spiel;гра в карти;noun;картеншпіль
das Brettspiel;настільна гра;die Brettspiele;free_time;Brett + Spiel;настільна гра;noun;бретшпіль
das Videospiel;відеогра;die Videospiele;free_time;Video + Spiel;відеогра;noun;відеошпіль
der Film;фільм;die Filme;free_time;Film;фільм;noun;фільм
die Serie;серіал;die Serien;free_time;Serie;серіал;noun;зеріє
der Roman;роман;die Romane;free_time;Roman;роман;noun;роман
die Zeitschrift;журнал;die Zeitschriften;free_time;Zeitschrift;журнал;noun;цайтшріфт
das Hörbuch;аудіокнига;die Hörbücher;free_time;Hör + Buch;аудіокнига;noun;гьорбух
das Konzert;концерт;die Konzerte;free_time;Konzert;концерт;noun;концерт
die Ausstellung;виставка;die Ausstellungen;free_time;Ausstellung;виставка;noun;аусштеллунг
das Museum;музей;die Museen;free_time;Museum;музей;noun;музеум
das Theater;театр;;free_time;Theater;театр;noun;теата
das Kino;кіно;die Kinos;free_time;Kino;кіно;noun;кіно
das Fitnessstudio;фітнес-студія;die Fitnessstudios;free_time;Fitness + Studio;фітнес-студія;noun;фітнесштудіо
das Schwimmbad;басейн;die Schwimmbäder;free_time;Schwimm + Bad;басейн;noun;швімбад
die Wanderung;похід;die Wanderungen;free_time;Wanderung;похід;noun;вандерунг
die Reise;подорож;die Reisen;free_time;Reise;подорож;noun;райзе
das Reisen;подорож;;free_time;Reisen;подорож;noun;райзен
das Fotografieren;фотографування;;free_time;fotografieren;фотографування;noun;фотографірен
das Malen;малювання;;free_time;malen;малювання;noun;мален
das Zeichnen;малювання олівцем;;free_time;zeichnen;малювання;noun;цайхнен
