el depósito;депозит;los depósitos;services;depósito;депозит;noun;депосіто
el retiro;зняття;los retiros;services;retiro;зняття;noun;ретіро
la sucursal;відділення;las sucursales;services;sucursal;відділення;noun;сукурсаль
la firma;підпис;las firmas;services;firma;підпис;noun;фірма
el extracto;виписка;los extractos;services;extracto;виписка;noun;екстракто
el préstamo;позика;los préstamos;services;préstamo;позика;noun;престамо
el interés;відсотки;los intereses;services;interés;відсотки;noun;інтерес
la tasa;ставка;las tasas;services;tasa;ставка;noun;таса
el tipo de cambio;обмінний курс;los tipos de cambio;services;tipo de cambio;обмінний курс;noun;тіпо де камбіо
la libreta;ощадна книжка;las libretas;services;libreta;ощадна книжка;noun;лібрета
el talonario;чекова книжка;los talonarios;services;talonario;чекова книжка;noun;талонаріо
la caja de seguridad;сейф;las cajas de seguridad;services;caja de seguridad;сейф;noun;каха де сеґурідад
el sobre;конверт;los sobres;services;sobre;конверт;noun;собре
el sello;марка;los sellos;services;sello;марка;noun;сейо
el paquete;пакет;los paquetes;services;paquete;пакет;noun;пакете
la dirección;адреса;las direcciones;services;dirección;адреса;noun;дірексьйон
el remitente;відправник;los remitentes;services;remitente;відправник;noun;ремітенте
el destinatario;отримувач;los destinatarios;services;destinatario;отримувач;noun;дестінатаріо
el apartado postal;абонентська скринька;los apartados postales;services;apartado postal;абонентська скринька;noun;апартадо посталь
el cartero;листоноша;los carteros;services;cartero;листоноша;noun;картеро
el envío;відправлення;los envíos;services;envío;відправлення;noun;енбіо
la entrega;доставка;las entregas;services;entrega;доставка;noun;ентрега
depositar;вносити кошти;;services;depositar;вносити кошти;verb (-ar);депосітар
el peluquero;перукар;los peluqueros;services;peluquero;перукар;noun;пелукеро
la peluquera;перукарка;las peluqueras;services;peluquera;перукарка;noun;пелукера
el corte;стрижка;los cortes;services;corte;стрижка;noun;корте
el secador;фен;los secadores;services;secador;фен;noun;секадор
el acondicionador;кондиціонер;los acondicionadores;services;acondicionador;кондиціонер;noun;акондисіонадор
el tinte;фарба для волосся;los tintes;services;tinte;фарба для волосся;noun;тінте
las mechas;мелірування;;services;mecha;мелірування;noun;мечас
el flequillo;чубчик;los flequillos;services;flequillo;чубчик;noun;флекійо
el rizador;плойка;los rizadores;services;rizador;плойка;noun;рісадор
el gel;гель;los geles;services;gel;гель;noun;хель
la laca;лак для волосся;las lacas;services;laca;лак для волосся;noun;лака
la capa;накидка;las capas;services;capa;накидка;noun;капа
el delantal;фартух;los delantales;services;delantal;фартух;noun;деланталь
la bata;халат;las batas;services;bata;халат;noun;бата
el lavabo;раковина;los lavabos;services;lavabo;раковина;noun;лавабо
el masaje;масаж;los masajes;services;masaje;масаж;noun;масахе
la manicura;манікюр;las manicuras;services;manicura;манікюр;noun;манікура
la pedicura;педикюр;las pedicuras;services;pedicura;педикюр;noun;педікура
el afeitado;гоління;los afeitados;services;afeitado;гоління;noun;афейтадо
la navaja;бритва;las navajas;services;navaja;бритва;noun;наваха
la crema;крем;las cremas;services;crema;крем;noun;крема
el perfume;парфуми;los perfumes;services;perfume;парфуми;noun;перфуме
el rulo;бігуді;los rulos;services;rulo;бігуді;noun;руло
la pinza;затискач;las pinzas;services;pinza;затискач;noun;пінса
la horquilla;шпилька для волосся;las horquillas;services;horquilla;шпилька для волосся;noun;оркійя
el moño;пучок;los moños;services;moño;пучок;noun;моньо
la trenza;коса;las trenzas;services;trenza;коса;noun;тренса
el recogido;укладка;los recogidos;services;recogido;укладка;noun;рекохідо
el alisado;вирівнювання;los alisados;services;alisado;вирівнювання;noun;алісадо
la permanente;хімічна завивка;las permanentes;services;permanente;хімічна завивка;noun;перманенте
la ondulación;хвиля;las ondulaciones;services;ondulación;хвиля;noun;ондуласіон
peinar;розчісувати;;services;peinar;розчісувати;verb (-ar);пейнар
teñir;фарбувати;;services;teñir;фарбувати;verb (-ir);теньір
el taller;майстерня;los talleres;services;taller;майстерня;noun;тайєр
el mecánico;механік;los mecánicos;services;mecánico;механік;noun;меканіко
el coche;автомобіль;los coches;services;coche;автомобіль;noun;коче
el motor;двигун;los motores;services;motor;двигун;noun;мотор
la batería;акумулятор;las baterías;services;batería;акумулятор;noun;батерія
el filtro;фільтр;los filtros;services;filtro;фільтр;noun;фільтро
la rueda;колесо;las ruedas;services;rueda;колесо;noun;руеда
el neumático;шина;los neumáticos;services;neumático;шина;noun;неуматіко
el freno;гальмо;los frenos;services;freno;гальмо;noun;френо
el volante;кермо;los volantes;services;volante;кермо;noun;боланте
el parabrisas;лобове скло;los parabrisas;services;parabrisas;лобове скло;noun;парабрісас
la bujía;свічка запалювання;las bujías;services;bujía;свічка запалювання;noun;бухія
el escape;вихлопна труба;los escapes;services;escape;вихлопна труба;noun;ескапе
el capó;капот;los capós;services;capó;капот;noun;капо
el espejo retrovisor;дзеркало заднього виду;los espejos retrovisores;services;espejo retrovisor;дзеркало заднього виду;noun;еспехо ретробісор
el faro;фара;los faros;services;faro;фара;noun;фаро
la luz;світло;las luces;services;luz;світло;noun;лус
el intermitente;поворотник;los intermitentes;services;intermitente;поворотник;noun;інтермітенте
la llanta;колісний диск;las llantas;services;llanta;обід;noun;йанта
el gato;домкрат;los gatos;services;gato;домкрат;noun;ґато
el destornillador;викрутка;los destornilladores;services;destornillador;викрутка;noun;десторнійадор
el alicate;плоскогубці;los alicates;services;alicate;плоскогубці;noun;алікате
la gasolina;бензин;las gasolinas;services;gasolina;бензин;noun;ґасоліна
el diésel;дизель;los diéseles;services;diésel;дизель;noun;діесель
el radiador;радіатор;los radiadores;services;radiador;радіатор;noun;радіадор
el embrague;зчеплення;los embragues;services;embrague;зчеплення;noun;ембраґе
el pedal;педаль;los pedales;services;pedal;педаль;noun;педаль
el acelerador;педаль газу;los aceleradores;services;acelerador;педаль газу;noun;аселерадор
la manguera;шланг;las mangueras;services;manguera;шланг;noun;манґера
la correa;ремінь;las correas;services;correa;ремінь;noun;корреа
el arranque;стартер;los arranques;services;arranque;стартер;noun;арранке
la chapa;кузов;las chapas;services;chapa;кузов;noun;чапа
el repuesto;запчастина;los repuestos;services;repuesto;запчастина;noun;репуесто
la avería;поломка;las averías;services;avería;поломка;noun;аберія
la grúa;евакуатор;las grúas;services;grúa;евакуатор;noun;ґруа
conducir;водити;;services;conducir;водити;verb (-ir);кондусір
arrancar;заводити;;services;arrancar;заводити;verb (-ar);арранкар
frenar;гальмувати;;services;frenar;гальмувати;verb (-ar);френар
acelerar;прискорювати;;services;acelerar;прискорювати;verb (-ar);аселерар
revisar;перевіряти;;services;revisar;перевіряти;verb (-ar);ребісар
el accidente;нещасний випадок;los accidentes;services;accidente;нещасний випадок;noun;аксіденте
el bombero;пожежник;los bomberos;services;bombero;пожежник;noun;бомберо
la policía;поліція;;services;policía;поліція;noun;полісія
la emergencia;надзвичайна ситуація;las emergencias;services;emergencia;надзвичайна ситуація;noun;емерхенсія
el robo;крадіжка;los robos;services;robo;крадіжка;noun;робо
el ladrón;злодій;los ladrones;services;ladrón;злодій;noun;ладрон
el secuestro;викрадення;los secuestros;services;secuestro;викрадення;noun;секестро
