reporter;репортер;reporters (masculine);society;reporter;репортер;noun;ріпортер
editor;редактор;editors (masculine);society;editor;редактор;noun;едітор
newspaper;газета;newspapers (feminine);society;newspaper;газета;noun;ньюзпейпер
magazine;журнал;magazines (masculine);society;magazine;журнал;noun;меґезін
headline;заголовок;headlines (masculine);society;headline;заголовок;noun;хедлайн
press;преса;press (uncountable, feminine);society;press;преса;noun;прес
broadcast;трансляція;broadcasts (feminine);society;broadcast;трансляція;noun;бродкаст
radio;радіо;radios (neuter);society;radio;радіо;noun;рейдіо
television;телебачення;televisions (neuter);society;television;телебачення;noun;телевіжн
channel;канал;channels (masculine);society;channel;канал;noun;ченел
news;новини;news (plural);society;news;новини;noun;ньюз
coverage;висвітлення;coverage (uncountable, neuter);society;coverage;висвітлення;noun;каверідж
source;джерело;sources (neuter);society;source;джерело;noun;сорс
commentary;коментар;commentaries (masculine);society;commentary;коментар;noun;коментері
bias;упередженість;biases (feminine);society;bias;упередженість;noun;баяс
censorship;цензура;censorship (uncountable, feminine);society;censorship;цензура;noun;сенсоршип
freedom;свобода;freedoms (feminine);society;freedom;свобода;noun;фрідом
journalism;журналістика;journalism (uncountable, feminine);society;journalism;журналістика;noun;джерналізм
media;медіа;media (plural, neuter);society;media;медіа;noun;мідіа
correspondent;кореспондент;correspondents (masculine);society;correspondent;кореспондент;noun;кореспондент
anchor;ведучий;anchors (masculine);society;anchor;ведучий;noun;анкор
presenter;диктор;presenters (masculine);society;presenter;диктор;noun;презентер
agency;агентство;agencies (neuter);society;agency;агентство;noun;ейдженсі
breaking;екстрений;;society;breaking;екстрений;adj;брейкінг
live;прямий;;society;live;прямий;adj;лайв
recording;запис;recordings (masculine);society;recording;запис;noun;рекордінг
podcast;подкаст;podcasts (masculine);society;podcast;подкаст;noun;подкаст
blog;блог;blogs (masculine);society;blog;блог;noun;блог
social;соціальний;;society;social;соціальний;adj;соушл
tweet;твіт;tweets (masculine);society;tweet;твіт;noun;твіт
post;допис;posts (masculine);society;post;допис;noun;поуст
fake;фейковий;;society;fake;фейковий;adj;фейк
propaganda;пропаганда;propaganda (uncountable, feminine);society;propaganda;пропаганда;noun;пропаганда
ad;реклама;ads (feminine);society;ad;реклама;noun;ед
