die Freundschaft;дружба;;relationships;Freundschaft;дружба;noun;фройндшафт
der Kumpel;приятель;die Kumpel;relationships;Kumpel;приятель;noun;кумпель
der Bekannte;знайомий;die Bekannten;relationships;bekannt;знайомий;noun;беканте
treu;вірний;;relationships;treu;вірний;adj;трой
die Treue;вірність;;relationships;Treue;вірність;noun;троє
lügen;брехати;;relationships;lügen;брехати;verb (strong);люґен
die Lüge;брехня;die Lügen;relationships;Lüge;брехня;noun;люґе
der Streit;сварка;die Streite;relationships;Streit;сварка;noun;штрайт
sich versöhnen;миритися;;relationships;versöhnen;миритися;verb (weak);зіх ферзьонен
helfen;допомагати;;relationships;helfen;допомагати;verb (strong);гельфен
die Hilfe;допомога;;relationships;Hilfe;допомога;noun;гільфе
unterstützen;підтримувати;;relationships;unterstützen;підтримувати;verb (weak);унтерштюцен
die Unterstützung;підтримка;;relationships;Unterstützung;підтримка;noun;унтерштюцунг
zuhören;слухати;;relationships;zuhören (zu hören);слухати;verb (separable);цухьорен
verstehen;розуміти;;relationships;verstehen;розуміти;verb (strong);ферштеєн
das Verständnis;розуміння;;relationships;Verständnis;розуміння;noun;ферштендніс
der Rat;порада;die Ratschläge;relationships;Rat;порада;noun;рат
raten;радити;;relationships;raten;радити;verb (strong);ратен
die Einladung;запрошення;die Einladungen;relationships;Einladung;запрошення;noun;айнладунг
die Bekanntschaft;знайомство;die Bekanntschaften;relationships;Bekanntschaft;знайомство;noun;бекантшафт
der Kontakt;контакт;die Kontakte;relationships;Kontakt;контакт;noun;контакт
das Geheimnis;таємниця;die Geheimnisse;relationships;Geheimnis;таємниця;noun;гегаймніс
geheim;таємний;;relationships;geheim;таємний;adj;гегайм
gemeinsam;спільний;;relationships;gemeinsam;спільний;adj;гемайнзам
die Gemeinsamkeit;спільність;die Gemeinsamkeiten;relationships;Gemeinsamkeit;спільність;noun;гемайнзамкайт
der Humor;гумор;;relationships;Humor;гумор;noun;гумор
lachen;сміятися;;relationships;lachen;сміятися;verb (weak);лахен
der Spaß;веселощі;die Späße;relationships;Spaß;веселощі;noun;шпас
sich freuen;радіти;;relationships;freuen;радіти;verb (weak);зіх фроєн
die Freude;радість;die Freuden;relationships;Freude;радість;noun;фройде
das Geschenk;подарунок;die Geschenke;relationships;Geschenk;подарунок;noun;гешенк
schenken;дарувати;;relationships;schenken;дарувати;verb (weak);шенкен
die Überraschung;сюрприз;die Überraschungen;relationships;Überraschung;сюрприз;noun;юберрашунг
überraschen;дивувати;;relationships;überraschen;дивувати;verb (weak);юберрашен
die Clique;кліка;die Cliquen;relationships;Clique;кліка;noun;кліке
