restaurante;ресторан;ресторани (masculino);food;restaurante;ресторан;noun
mesa;стіл;столи (masculino);food;mesa;стіл;noun
camarero;офіціант;офіціанти (masculino);food;camarero;офіціант;noun
camarera;офіціантка;офіціантки (femenino);food;camarera;офіціантка;noun
cliente;клієнт;клієнти (masculino);food;cliente;клієнт;noun
reserva;бронювання;бронювання (neutro);food;reserva;бронювання;noun
menú;меню;меню (neutro);food;menú;меню;noun
carta;меню;меню (neutro);food;carta;меню;noun
plato;страва;страви (femenino);food;plato;страва;noun
bebida;напій;напої (masculino);food;bebida;напій;noun
agua;вода;(femenino);food;agua;вода;noun
vino;вино;вина (neutro);food;vino;вино;noun
cerveza;пиво;пива (neutro);food;cerveza;пиво;noun
café;кава;кави (femenino);food;café;кава;noun
té;чай;чаї (masculino);food;té;чай;noun
zumo;сік;соки (masculino);food;zumo;сік;noun
entrante;закуска;закуски (femenino);food;entrante;закуска;noun
plato principal;основна страва;основні страви (femenino);food;plato principal;основна страва;noun
guarnición;гарнір;гарніри (masculino);food;guarnición;гарнір;noun
postre;десерт;десерти (masculino);food;postre;десерт;noun
helado;морозиво;морозива (neutro);food;helado;морозиво;noun
pastel;тістечко;тістечка (neutro);food;pastel;тістечко;noun
fruta;фрукти;фрукти (masculino);food;fruta;фрукти;noun
verdura;овочі;овочі (masculino);food;verdura;овочі;noun
ensalada;салат;салати (masculino);food;ensalada;салат;noun
sopa;суп;супи (masculino);food;sopa;суп;noun
pescado;риба;риби (femenino);food;pescado;риба;noun
carne;м'ясо;(neutro);food;carne;м'ясо;noun
pollo;курка;курки (femenino);food;pollo;курка;noun
marisco;морепродукти;морепродукти (masculino);food;marisco;морепродукти;noun
arroz;рис;(masculino);food;arroz;рис;noun
pasta;макарони;макарони (masculino);food;pasta;макарони;noun
pan;хліб;хліби (masculino);food;pan;хліб;noun
mantequilla;масло;(neutro);food;mantequilla;масло;noun
aceite;олія;(femenino);food;aceite;олія;noun
sal;сіль;(femenino);food;sal;сіль;noun
pimienta;перець;(masculino);food;pimienta;перець;noun
azúcar;цукор;(masculino);food;azúcar;цукор;noun
salsa;соус;соуси (masculino);food;salsa;соус;noun
cuenta;рахунок;рахунки (masculino);food;cuenta;рахунок;noun
pedir;замовляти;;food;pedir;замовляти;verb
reservar;бронювати;;food;reservar;бронювати;verb
pagar;платити;;food;pagar;платити;verb
servir;подавати;;food;servir;подавати;verb
recomendar;рекомендувати;;food;recomendar;рекомендувати;verb
delicioso;смачний;;food;delicioso;смачний;adj
salado;солоний;;food;salado;солоний;adj
dulce;солодкий;;food;dulce;солодкий;adj
amargo;гіркий;;food;amargo;гіркий;adj
picante;гострий;;food;picante;гострий;adj
cortar;різати;;food;cortar;різати;verb
pelar;чистити;;food;pelar;чистити;verb
picar;подрібнювати;;food;picar;подрібнювати;verb
trocear;нарізати шматочками;;food;trocear;нарізати шматочками;verb
rebanar;нарізати скибочками;;food;rebanar;нарізати скибочками;verb
batir;збивати;;food;batir;збивати;verb
mezclar;змішувати;;food;mezclar;змішувати;verb
amasar;місити;;food;amasar;місити;verb
estirar;розкачувати;;food;estirar;розкачувати;verb
hornear;випікати;;food;hornear;випікати;verb
cocer;варити;;food;cocer;варити;verb
hervir;кип'ятити;;food;hervir;кип'ятити;verb
freír;смажити у фритюрі;;food;freír;смажити у фритюрі;verb
saltear;швидко обсмажувати;;food;saltear;швидко обсмажувати;verb
sofreír;пасерувати;;food;sofreír;пасерувати;verb
asar;запікати;;food;asar;запікати;verb
gratinar;запікати під грилем;;food;gratinar;запікати під грилем;verb
aderezar;заправляти;;food;aderezar;заправляти;verb
salpimentar;солити й перчити;;food;salpimentar;солити й перчити;verb
marinar;маринувати;;food;marinar;маринувати;verb
macerar;витримувати в рідині;;food;macerar;витримувати в рідині;verb
empanar;панірувати;;food;empanar;панірувати;verb
rebozar;обвалювати в клярі;;food;rebozar;обвалювати в клярі;verb
enharinar;обвалювати в борошні;;food;enharinar;обвалювати в борошні;verb
rallar;натирати;;food;rallar;натирати;verb
exprimir;вичавлювати;;food;exprimir;вичавлювати;verb
colar;проціджувати;;food;colar;проціджувати;verb
escurrir;зціджувати;;food;escurrir;зціджувати;verb
tamizar;просіювати;;food;tamizar;просіювати;verb
derretir;розтоплювати;;food;derretir;розтоплювати;verb
fundir;плавити;;food;fundir;плавити;verb
caramelizar;карамелізувати;;food;caramelizar;карамелізувати;verb
glasear;глазурувати;;food;glasear;глазурувати;verb
escalfar;пашотувати;;food;escalfar;пашотувати;verb
blanquear;бланшувати;;food;blanquear;бланшувати;verb
guisar;тушкувати;;food;guisar;тушкувати;verb
estofar;тушкувати з овочами;;food;estofar;тушкувати з овочами;verb
cocinar;готувати;;food;cocinar;готувати;verb
triturar;подрібнювати блендером;;food;triturar;подрібнювати блендером;verb
moler;молоти;;food;moler;молоти;verb
majar;товкти;;food;majar;товкти;verb
deshuesar;видаляти кістки;;food;deshuesar;видаляти кістки;verb
