der Beruf;професія;die Berufe;daily_life;Beruf;професія;noun;беруф
der Job;робота;die Jobs;daily_life;Job;робота;noun;джоб
die Stelle;посада;die Stellen;daily_life;Stelle;посада;noun;штеле
die Firma;фірма;die Firmen;daily_life;Firma;фірма;noun;фірма
der Chef;керівник;die Chefs;daily_life;Chef;керівник;noun;шеф
der Angestellte;службовець;die Angestellten;daily_life;Angestellte;службовець;noun;анґештельте
der Arbeiter;робітник;die Arbeiter;daily_life;Arbeiter;робітник;noun;арбайтера
der Handwerker;ремісник;die Handwerker;daily_life;Handwerker;ремісник;noun;гандверкера
der Lehrer;вчитель;die Lehrer;daily_life;Lehrer;вчитель;noun;лерера
der Arzt;лікар;die Ärzte;daily_life;Arzt;лікар;noun;арцт
die Krankenschwester;медсестра;die Krankenschwestern;daily_life;Krankenschwester;медсестра;noun;кранкеншвеста
der Polizist;поліцейський;die Polizisten;daily_life;Polizist;поліцейський;noun;поліціст
der Feuerwehrmann;пожежник;die Feuerwehrmänner;daily_life;Feuerwehrmann;пожежник;noun;фоєрверман
der Verkäufer;продавець;die Verkäufer;daily_life;Verkäufer;продавець;noun;феркойфера
der Kellner;офіціант;die Kellner;daily_life;Kellner;офіціант;noun;кельнера
der Koch;кухар;die Köche;daily_life;Koch;кухар;noun;кох
der Friseur;перукар;die Friseure;daily_life;Friseur;перукар;noun;фрізьор
der Mechaniker;механік;die Mechaniker;daily_life;Mechaniker;механік;noun;механікера
der Ingenieur;інженер;die Ingenieure;daily_life;Ingenieur;інженер;noun;інженіор
der Programmierer;програміст;die Programmierer;daily_life;Programmierer;програміст;noun;програмірера
der Designer;дизайнер;die Designer;daily_life;Designer;дизайнер;noun;дізайнера
der Architekt;архітектор;die Architekten;daily_life;Architekt;архітектор;noun;архітект
der Anwalt;адвокат;die Anwälte;daily_life;Anwalt;адвокат;noun;анвальт
der Richter;суддя;die Richter;daily_life;Richter;суддя;noun;ріхьта
der Journalist;журналіст;die Journalisten;daily_life;Journalist;журналіст;noun;журналіст
der Fotograf;фотограф;die Fotografen;daily_life;Fotograf;фотограф;noun;фотограф
der Musiker;музикант;die Musiker;daily_life;Musiker;музикант;noun;музікера
der Schauspieler;актор;die Schauspieler;daily_life;Schauspieler;актор;noun;шаушпілера
der Sänger;співак;die Sänger;daily_life;Sänger;співак;noun;зенґера
der Politiker;політик;die Politiker;daily_life;Politiker;політик;noun;політікера
der Beamte;державний службовець;die Beamten;daily_life;Beamte;державний службовець;noun;беамте
der Unternehmer;підприємець;die Unternehmer;daily_life;Unternehmer;підприємець;noun;унтернемера
der Selbstständige;самозайнятий;die Selbstständigen;daily_life;Selbstständige;самозайнятий;noun;зельбштендіґе
die Teilzeit;неповний робочий день;;daily_life;Teilzeit;неповний робочий день;noun;тайльцайт
die Vollzeit;повний робочий день;;daily_life;Vollzeit;повний робочий день;noun;фольцайт
die Überstunde;понаднормова година;die Überstunden;daily_life;Überstunde;понаднормова година;noun;юберштунде
das Gehalt;зарплата;die Gehälter;daily_life;Gehalt;зарплата;noun;гегальт
der Lohn;заробітна плата;die Löhne;daily_life;Lohn;заробітна плата;noun;льон
der Urlaub;відпустка;die Urlaube;daily_life;Urlaub;відпустка;noun;урлауб
die Rente;пенсія;die Renten;daily_life;Rente;пенсія;noun;ренте
die Bewerbung;заява на роботу;die Bewerbungen;daily_life;Bewerbung;заява на роботу;noun;бевербунґ
das Vorstellungsgespräch;співбесіда;die Vorstellungsgespräche;daily_life;Vorstellungsgespräch;співбесіда;noun;форштельунґсґешпрехь
der Lebenslauf;резюме;die Lebensläufe;daily_life;Lebenslauf;резюме;noun;лебенслауф
das Zeugnis;свідоцтво;die Zeugnisse;daily_life;Zeugnis;свідоцтво;noun;цойґніс
die Ausbildung;освіта;die Ausbildungen;daily_life;Ausbildung;освіта;noun;аусбільдунґ
das Studium;навчання у виші;die Studien;daily_life;Studium;навчання у виші;noun;штудіум
das Praktikum;практика;die Praktika;daily_life;Praktikum;практика;noun;практікум
der Computer;комп'ютер;die Computer;daily_life;Computer;комп'ютер;noun;комп'ютер
die Tastatur;клавіатура;die Tastaturen;daily_life;Tastatur;клавіатура;noun;тастатур
der Bildschirm;монітор;die Bildschirme;daily_life;Bild + Schirm;екран;noun;більдшірм
der Drucker;принтер;die Drucker;daily_life;drucken (Drucker);принтер;noun;друкер
die Maus;миша;die Mäuse;daily_life;Maus;миша;noun;маус
das Telefon;телефон;die Telefone;daily_life;Telefon;телефон;noun;телефон
das Handy;мобільний телефон;die Handys;daily_life;Handy;мобільний телефон;noun;хенді
der Kugelschreiber;кулькова ручка;die Kugelschreiber;daily_life;Kugel + Schreiber;кулькова ручка;noun;кугельшрайбер
der Bleistift;олівець;die Bleistifte;daily_life;Blei + Stift;олівець;noun;блайштифт
der Notizblock;блокнот;die Notizblöcke;daily_life;Notiz + Block;блокнот;noun;нотіцблок
das Papier;папір;;daily_life;Papier;папір;noun;папір
der Hefter;степлер;die Hefter;daily_life;heften (Hefter);степлер;noun;гефтер
die Schere;ножиці;die Scheren;daily_life;Schere;ножиці;noun;шере
die Büroklammer;скріпка;die Büroklammern;daily_life;Büro + Klammer;скріпка;noun;бюрокламмер
der Ordner;папка-файл;die Ordner;daily_life;ordnen (Ordner);папка;noun;орднер
der Kalender;календар;die Kalender;daily_life;Kalender;календар;noun;календер
die Besprechung;нарада;die Besprechungen;daily_life;besprechen (Besprechung);нарада;noun;бешпрехунг
der Kunde;клієнт;die Kunden;daily_life;Kunde;клієнт;noun;кунде
die E-Mail;електронна пошта;die E-Mails;daily_life;E-Mail;електронна пошта;noun;і-мейл
der Termin;термін;die Termine;daily_life;Termin;термін;noun;термін
die Aufgabe;завдання;die Aufgaben;daily_life;auf + Gabe;завдання;noun;ауфґабе
das Projekt;проект;die Projekte;daily_life;Projekt;проект;noun;проект
die Präsentation;презентація;die Präsentationen;daily_life;Präsentation;презентація;noun;презентаціон
der Bericht;звіт;die Berichte;daily_life;berichten (Bericht);звіт;noun;беріхт
die Rechnung;рахунок;die Rechnungen;daily_life;rechnen (Rechnung);рахунок;noun;рехнунг
der Vertrag;договір;die Verträge;daily_life;ver + trag (vertragen);договір;noun;фертраґ
die Pause;перерва;die Pausen;daily_life;Pause;перерва;noun;паузе
die Kaffeemaschine;кавоварка;die Kaffeemaschinen;daily_life;Kaffee + Maschine;кавоварка;noun;кафеемашіне
der Wasserspender;кулер для води;die Wasserspender;daily_life;Wasser + Spender;кулер для води;noun;вассершпендер
der Aufzug;ліфт;die Aufzüge;daily_life;auf + Zug;ліфт;noun;ауфцуґ
die Treppe;сходи;die Treppen;daily_life;Treppe;сходи;noun;треппе
die Etage;поверх;die Etagen;daily_life;Etage;поверх;noun;етаже
die Tür;двері;die Türen;daily_life;Tür;двері;noun;тюр
das Fenster;вікно;die Fenster;daily_life;Fenster;вікно;noun;фенстер
der Papierkorb;кошик для паперу;die Papierkörbe;daily_life;Papier + Korb;кошик для паперу;noun;папіркорб
das Schwarze Brett;дошка оголошень;die Schwarzen Bretter;daily_life;schwarz + Brett;дошка оголошень;noun;шварце брет
das Whiteboard;біла дошка;die Whiteboards;daily_life;white + board;біла дошка;noun;вайтборд
die Haftnotiz;липка нотатка;die Haftnotizen;daily_life;Haft + Notiz;липка нотатка;noun;гафтнотіц
die Agenda;порядок денний;die Agenden;daily_life;Agenda;порядок денний;noun;аґенда
die Telefonnummer;номер телефону;die Telefonnummern;daily_life;Telefon + Nummer;номер телефону;noun;телефоннуммер
arbeiten;працювати;;daily_life;arbeiten;працювати;verb (weak);арбайтен
die Chefin;начальниця;die Chefinnen;daily_life;Chefin;начальниця;noun;шефін
das Meeting;зустріч;die Meetings;daily_life;Meeting;зустріч;noun;мітинґ
die Frist;термін;die Fristen;daily_life;Frist;термін;noun;фріст
die Deadline;кінцевий термін;die Deadlines;daily_life;Deadline;кінцевий термін;noun;дедлайн
der Anruf;дзвінок;die Anrufe;daily_life;Anruf;дзвінок;noun;анруф
die Nachricht;повідомлення;die Nachrichten;daily_life;Nachricht;повідомлення;noun;нахріхт
die Mitteilung;сповіщення;die Mitteilungen;daily_life;Mitteilung;сповіщення;noun;міттайлунґ
die Datei;файл;die Dateien;daily_life;Datei;файл;noun;датай
das Dokument;документ;die Dokumente;daily_life;Dokument;документ;noun;документ
die Unterschrift;підпис;die Unterschriften;daily_life;Unterschrift;підпис;noun;унтершріфт
die Gehaltserhöhung;підвищення зарплати;die Gehaltserhöhungen;daily_life;Gehalt + Erhöhung;підвищення зарплати;noun;ґегальтсергьоунґ
die Beförderung;підвищення (на посаді);die Beförderungen;daily_life;Beförderung;підвищення;noun;бефьордерунґ
die Arbeitszeit;робочий час;die Arbeitszeiten;daily_life;Arbeit + Zeit;робочий час;noun;арбайтсцайт
die Mittagspause;обідня перерва;die Mittagspausen;daily_life;Mittag + Pause;обідня перерва;noun;міттаґспаузе
