el amigo;друг;los amigos;relationships;amigo;друг;noun;аміго
la amiga;подруга;las amigas;relationships;amiga;подруга;noun;аміга
el compañero;товариш;los compañeros;relationships;compañero;товариш;noun;компаньєро
la confianza;довіра;;relationships;confianza;довіра;noun;конфьянса
el apoyo;підтримка;los apoyos;relationships;apoyo;підтримка;noun;апойо
el secreto;секрет;los secretos;relationships;secreto;секрет;noun;секрето
la lealtad;вірність;;relationships;lealtad;вірність;noun;леальтад
el respeto;повага;los respetos;relationships;respeto;повага;noun;респето
el abrazo;обійми;los abrazos;relationships;abrazo;обійми;noun;абрасо
el beso;поцілунок;los besos;relationships;beso;поцілунок;noun;бесо
la invitación;запрошення;las invitaciones;relationships;invitación;запрошення;noun;інвітасьйон
la promesa;обіцянка;las promesas;relationships;promesa;обіцянка;noun;промеса
el conflicto;конфлікт;los conflictos;relationships;conflicto;конфлікт;noun;конфлікто
la pelea;сварка;las peleas;relationships;pelea;сварка;noun;пелеа
el perdón;пробачення;los perdones;relationships;perdón;пробачення;noun;пердон
el chisme;плітка;los chismes;relationships;chisme;плітка;noun;чісме
la broma;жарт;las bromas;relationships;broma;жарт;noun;брома
la conversación;розмова;las conversaciones;relationships;conversación;розмова;noun;конверсасьйон
el detalle;деталь;los detalles;relationships;detalle;деталь;noun;детайє
el favor;послуга;los favores;relationships;favor;послуга;noun;фабор
la solidaridad;солідарність;;relationships;solidaridad;солідарність;noun;солідарідад
el confidente;довірена особа;los confidentes;relationships;confidente;довірена особа;noun;конфіденте
la confidencia;довірча розмова;las confidencias;relationships;confidencia;довірча розмова;noun;конфіденсія
la reconciliación;примирення;las reconciliaciones;relationships;reconciliación;примирення;noun;реконсіліасьйон
el encuentro;зустріч;los encuentros;relationships;encuentro;зустріч;noun;енкуентро
el saludo;привітання;los saludos;relationships;saludo;привітання;noun;салудо
confiar;довіряти;;relationships;confiar;довіряти;verb (-ar);конфьяр
apoyar;підтримувати;;relationships;apoyar;підтримувати;verb (-ar);апойяр
ayudar;допомагати;;relationships;ayudar;допомагати;verb (-ar);аюдар
perdonar;пробачати;;relationships;perdonar;пробачати;verb (-ar);пердонар
invitar;запрошувати;;relationships;invitar;запрошувати;verb (-ar);інвітар
reconciliar;примиряти;;relationships;reconciliar;примиряти;verb (-ar);реконсільяр
discutir;сперечатися;;relationships;discutir;сперечатися;verb (-ir);діскутір
prometer;обіцяти;;relationships;prometer;обіцяти;verb (-er);прометер
quedar;домовлятися про зустріч;;relationships;quedar;домовлятися;verb (-ar);кедар
saludar;вітатися;;relationships;saludar;вітатися;verb (-ar);салудар
disculpar;вибачатися;;relationships;disculpar;вибачатися;verb (-ar);діскульпар
enfadarse;сердитися;;relationships;enfadar;сердитися;verb (-ar);енфадарсе
comprensivo;розуміючий;;relationships;comprensivo;розуміючий;adj;компренсіво
divertido;веселий;;relationships;divertido;веселий;adj;дівертідо
juntos;разом;;relationships;junto;разом;adv;хунтос
la fiesta;вечірка;las fiestas;relationships;fiesta;вечірка;noun;фієста
la celebración;святкування;las celebraciones;relationships;celebración;святкування;noun;селебрасьйон
el invitado;гість;los invitados;relationships;invitado;гість;noun;інвітадо
el anfitrión;господар;los anfitriones;relationships;anfitrión;господар;noun;анфітріон
la bebida;напій;las bebidas;relationships;bebida;напій;noun;бебіда
el cóctel;коктейль;los cócteles;relationships;cóctel;коктейль;noun;коктель
el brindis;тост;los brindis;relationships;brindis;тост;noun;бріндіс
el regalo;подарунок;los regalos;relationships;regalo;подарунок;noun;регало
la sorpresa;сюрприз;las sorpresas;relationships;sorpresa;сюрприз;noun;сорпреса
la decoración;прикраса;las decoraciones;relationships;decoración;прикраса;noun;декорасьйон
el globo;повітряна кулька;los globos;relationships;globo;повітряна кулька;noun;глобо
la risa;сміх;las risas;relationships;risa;сміх;noun;ріса
el chiste;жарт;los chistes;relationships;chiste;жарт;noun;чісте
la despedida;прощання;las despedidas;relationships;despedida;прощання;noun;деспедіда
la foto;фото;las fotos;relationships;foto;фото;noun;фото
la selfie;селфі;las selfies;relationships;selfie;селфі;noun;селфі
la red social;соціальна мережа;las redes sociales;relationships;red social;соціальна мережа;noun;ред сосіаль
la charla;бесіда;las charlas;relationships;charla;бесіда;noun;чарла
el disfraz;костюм;los disfraces;relationships;disfraz;костюм;noun;дісфрас
la máscara;маска;las máscaras;relationships;máscara;маска;noun;маскара
la discoteca;дискотека;las discotecas;relationships;discoteca;дискотека;noun;діскотека
celebrar;святкувати;;relationships;celebrar;святкувати;verb (-ar);селебрар
beber;пити;;relationships;beber;пити;verb (-er);бебер
charlar;розмовляти;;relationships;charlar;розмовляти;verb (-ar);чарлар
abrazar;обіймати;;relationships;abrazar;обіймати;verb (-ar);абрасар
besar;цілувати;;relationships;besar;цілувати;verb (-ar);бесар
