das Zimmer;кімната;die Zimmer;house_and_home;Zimmer;кімната;noun;ціммер
das Wohnzimmer;вітальня;die Wohnzimmer;house_and_home;wohnen + Zimmer;вітальня;noun;вонціммер
das Schlafzimmer;спальня;die Schlafzimmer;house_and_home;schlafen + Zimmer;спальня;noun;шлафціммер
die Küche;кухня;die Küchen;house_and_home;Küche;кухня;noun;кюхе
das Badezimmer;ванна кімната;die Badezimmer;house_and_home;baden + Zimmer;ванна кімната;noun;бадеціммер
die Toilette;туалет;die Toiletten;house_and_home;Toilette;туалет;noun;тоалетте
das Arbeitszimmer;кабінет;die Arbeitszimmer;house_and_home;Arbeit + Zimmer;кабінет;noun;арбайтсціммер
der Flur;коридор;die Flure;house_and_home;Flur;коридор;noun;флюр
der Keller;підвал;die Keller;house_and_home;Keller;підвал;noun;келлер
der Dachboden;горище;die Dachböden;house_and_home;Dach + Boden;горище;noun;дахбоден
der Balkon;балкон;die Balkone;house_and_home;Balkon;балкон;noun;балкон
die Terrasse;тераса;die Terrassen;house_and_home;Terrasse;тераса;noun;терассе
das Esszimmer;їдальня;die Esszimmer;house_and_home;essen + Zimmer;їдальня;noun;есціммер
der Tisch;стіл;die Tische;house_and_home;Tisch;стіл;noun;тіш
der Stuhl;стілець;die Stühle;house_and_home;Stuhl;стілець;noun;штуль
das Sofa;диван;die Sofas;house_and_home;Sofa;диван;noun;зофа
der Sessel;крісло;die Sessel;house_and_home;Sessel;крісло;noun;зесель
der Schrank;шафа;die Schränke;house_and_home;Schrank;шафа;noun;шранк
der Kleiderschrank;платтяна шафа;die Kleiderschränke;house_and_home;Kleider + Schrank;платтяна шафа;noun;клайдершранк
das Regal;полиця;die Regale;house_and_home;Regal;полиця;noun;регаль
das Bücherregal;книжкова полиця;die Bücherregale;house_and_home;Bücher + Regal;книжкова полиця;noun;бюхеррегаль
der Teppich;килим;die Teppiche;house_and_home;Teppich;килим;noun;тепіх
die Lampe;лампа;die Lampen;house_and_home;Lampe;лампа;noun;лампе
der Vorhang;штора;die Vorhänge;house_and_home;Vorhang;штора;noun;форганг
das Bild;картина;die Bilder;house_and_home;Bild;картина;noun;більд
der Spiegel;дзеркало;die Spiegel;house_and_home;Spiegel;дзеркало;noun;шпігель
die Kommode;комод;die Kommoden;house_and_home;Kommode;комод;noun;комоде
der Nachttisch;нічний столик;die Nachttische;house_and_home;Nacht + Tisch;нічний столик;noun;нахттіш
der Schreibtisch;письмовий стіл;die Schreibtische;house_and_home;schreiben + Tisch;письмовий стіл;noun;шрайбтіш
der Esstisch;обідній стіл;die Esstische;house_and_home;essen + Tisch;обідній стіл;noun;естіш
der Kühlschrank;холодильник;die Kühlschränke;house_and_home;kühl + Schrank;холодильник;noun;кюльшранк
der Herd;плита;die Herde;house_and_home;Herd;плита;noun;герд
der Backofen;духовка;die Backöfen;house_and_home;backen + Ofen;духовка;noun;бакофен
die Spülmaschine;посудомийна машина;die Spülmaschinen;house_and_home;spülen + Maschine;посудомийна машина;noun;шпюльмашине
die Waschmaschine;пральна машина;die Waschmaschinen;house_and_home;waschen + Maschine;пральна машина;noun;вашмашине
die Mikrowelle;мікрохвильовка;die Mikrowellen;house_and_home;Mikrowelle;мікрохвильовка;noun;мікровелле
das Kissen;подушка;die Kissen;house_and_home;Kissen;подушка;noun;кіссен
die Bettdecke;ковдра;die Bettdecken;house_and_home;Bett + Decke;ковдра;noun;бетдеке
das Laken;простирадло;die Laken;house_and_home;Laken;простирадло;noun;лакен
die Matratze;матрац;die Matratzen;house_and_home;Matratze;матрац;noun;матраце
wohnen;жити;;house_and_home;wohnen;жити;verb (weak);вонен
einrichten;облаштовувати;;house_and_home;einrichten (zu richten);облаштовувати;verb (separable);айнріхтен
aufräumen;прибирати;;house_and_home;aufräumen (zu räumen);прибирати;verb (separable);ауфроймен
putzen;чистити;;house_and_home;putzen;чистити;verb (weak);путцен
gemütlich;затишний;;house_and_home;gemütlich;затишний;adj;ґемютліх
das Staubtuch;ганчірка для пилу;die Staubtücher;house_and_home;Staub + Tuch;ганчірка для пилу;noun;штаубтух
der Besen;віник;die Besen;house_and_home;Besen;віник;noun;безен
die Kehrschaufel;совок;die Kehrschaufeln;house_and_home;kehren + Schaufel;совок;noun;кершауфель
der Wischmopp;швабра;die Wischmopps;house_and_home;wischen + Mopp;швабра;noun;вішмоп
der Eimer;відро;die Eimer;house_and_home;Eimer;відро;noun;аймер
der Schwamm;губка;die Schwämme;house_and_home;Schwamm;губка;noun;швам
das Reinigungsmittel;мийний засіб;die Reinigungsmittel;house_and_home;Reinigung + Mittel;мийний засіб;noun;райнігунгсмітель
der Wäschetrockner;сушарка;die Wäschetrockner;house_and_home;Wäsche + Trockner;сушарка;noun;вешетрокнер
das Bügeleisen;праска;die Bügeleisen;house_and_home;bügeln + Eisen;праска;noun;бюгеляйзен
das Bügelbrett;прасувальна дошка;die Bügelbretter;house_and_home;bügeln + Brett;прасувальна дошка;noun;бюгельбрет
