doctor;лікар;doctors (masculine);daily_life;doctor;лікар;noun;доктор
nurse;медсестра;nurses (feminine);daily_life;nurse;медсестра;noun;нерс
teacher;вчитель;teachers (masculine);daily_life;teacher;вчитель;noun;тічер
engineer;інженер;engineers (masculine);daily_life;engineer;інженер;noun;енджинір
lawyer;юрист;lawyers (masculine);daily_life;lawyer;юрист;noun;лоєр
accountant;бухгалтер;accountants (masculine);daily_life;accountant;бухгалтер;noun;екаунтент
manager;менеджер;managers (masculine);daily_life;manager;менеджер;noun;менеджер
secretary;секретарка;secretaries (feminine);daily_life;secretary;секретарка;noun;секретері
company;компанія;companies (feminine);daily_life;company;компанія;noun;кампані
factory;завод;factories (masculine);daily_life;factory;завод;noun;факторі
university;університет;universities (masculine);daily_life;university;університет;noun;юніверсіті
interview;співбесіда;interviews (feminine);daily_life;interview;співбесіда;noun;інтерв’ю
resume;резюме;resumes (neuter);daily_life;resume;резюме;noun;резюмей
salary;зарплата;salaries (feminine);daily_life;salary;зарплата;noun;селері
colleague;колега;colleagues (common gender);daily_life;colleague;колега;noun;коліг
boss;начальник;bosses (masculine);daily_life;boss;начальник;noun;бос
employee;працівник;employees (masculine);daily_life;employee;працівник;noun;імплойі
employer;роботодавець;employers (masculine);daily_life;employer;роботодавець;noun;імплоєр
customer;клієнт;customers (masculine);daily_life;customer;клієнт;noun;кастомер
client;клієнт;clients (masculine);daily_life;client;клієнт;noun;клаєнт
meeting;зустріч;meetings (feminine);daily_life;meeting;зустріч;noun;мітинг
project;проєкт;projects (masculine);daily_life;project;проєкт;noun;проджект
deadline;дедлайн;deadlines (masculine);daily_life;deadline;дедлайн;noun;дедлайн
presentation;презентація;presentations (feminine);daily_life;presentation;презентація;noun;презентейшн
report;звіт;reports (masculine);daily_life;report;звіт;noun;рипорт
computer;комп’ютер;computers (masculine);daily_life;computer;комп’ютер;noun;комп’ютер
telephone;телефон;telephones (masculine);daily_life;telephone;телефон;noun;телефон
email;електронна пошта;emails (feminine);daily_life;email;електронна пошта;noun;імейл
apply;подавати заявку;;daily_life;apply;подавати заявку (imperfective);verb;еплай
hire;наймати;;daily_life;hire;наймати (imperfective);verb;хайєр
fire;звільняти;;daily_life;fire;звільняти (imperfective);verb;файєр
