das Hobby;хобі;die Hobbys;free_time;Hobby;хобі;noun;гобі
die Freizeit;вільний час;;free_time;Freizeit;вільний час;noun;фрайцайт
der Sport;спорт;;free_time;Sport;спорт;noun;шпорт
die Musik;музика;;free_time;Musik;музика;noun;музик
das Instrument;інструмент;die Instrumente;free_time;Instrument;інструмент;noun;інструмент
die Gitarre;гітара;die Gitarren;free_time;Gitarre;гітара;noun;гітаре
das Kino;кіно;die Kinos;free_time;Kino;кіно;noun;кіно
der Film;фільм;die Filme;free_time;Film;фільм;noun;фільм
die Ausstellung;виставка;die Ausstellungen;free_time;Ausstellung;виставка;noun;аусштелунг
die Sammlung;колекція;die Sammlungen;free_time;Sammlung;колекція;noun;замлунг
die Fotografie;фотографія;die Fotografien;free_time;Fotografie;фотографія;noun;фотографі
das Foto;фотографія;die Fotos;free_time;Foto;фотографія;noun;фото
das Videospiel;відеогра;die Videospiele;free_time;Video + Spiel;відеогра;noun;відеошпіль
das Brettspiel;настільна гра;die Brettspiele;free_time;Brett + Spiel;настільна гра;noun;бретшпіль
das Kartenspiel;картяна гра;die Kartenspiele;free_time;Karten + Spiel;картяна гра;noun;картеншпіль
das Puzzle;пазл;die Puzzles;free_time;Puzzle;пазл;noun;пуцль
der Tanz;танець;die Tänze;free_time;Tanz;танець;noun;танц
die Party;вечірка;die Partys;free_time;Party;вечірка;noun;парті
der Ausflug;екскурсія;die Ausflüge;free_time;Ausflug;екскурсія;noun;аусфлуг
die Wanderung;похід;die Wanderungen;free_time;Wanderung;похід;noun;вандерунг
das Radfahren;їзда на велосипеді;;free_time;Rad + Fahren;їзда на велосипеді;noun;радфарен
das Schwimmen;плавання;;free_time;Schwimmen;плавання;noun;швіммен
das Backen;випікання;;free_time;Backen;випікання;noun;бакен
das Malen;малювання;;free_time;Malen;малювання;noun;мален
das Zeichnen;малювання олівцем;;free_time;Zeichnen;малювання олівцем;noun;цайхнен
die Handarbeit;рукоділля;;free_time;Handarbeit;рукоділля;noun;хандарбайт
das Stricken;в'язання;;free_time;Stricken;в'язання;noun;штрикен
das Nähen;шиття;;free_time;Nähen;шиття;noun;неен
die Gartenarbeit;садівництво;;free_time;Garten + Arbeit;садівництво;noun;ґартенарбайт
