das Substantiv;іменник;die Substantive;language;Substantiv;іменник;noun;зубстантіф
die Konjunktion;сполучник;die Konjunktionen;language;Konjunktion;сполучник;noun;кон'юнкціон
das Adverb;прислівник;die Adverbien;language;Adverb;прислівник;noun;адверб
der Kasus;відмінок;die Kasus;language;Kasus;відмінок;noun;казус
der Nominativ;називний відмінок;die Nominative;language;Nominativ;називний відмінок;noun;номінатіф
der Akkusativ;знахідний відмінок;die Akkusative;language;Akkusativ;знахідний відмінок;noun;акузатіф
der Dativ;давальний відмінок;die Dative;language;Dativ;давальний відмінок;noun;датіф
der Genitiv;родовий відмінок;die Genitive;language;Genitiv;родовий відмінок;noun;ґенітіф
das Präsens;теперішній час;;language;Präsens;теперішній час;noun;презенс
das Präteritum;минулий час;;language;Präteritum;минулий час;noun;претерітум
das Perfekt;перфект;;language;Perfekt;перфект;noun;перфект
das Plusquamperfekt;давноминулий час;;language;Plusquamperfekt;давноминулий час;noun;плюсквамперфект
das Futur;майбутній час;;language;Futur;майбутній час;noun;футур
der Indikativ;дійсний спосіб;die Indikative;language;Indikativ;дійсний спосіб;noun;індікатіф
der Konjunktiv;умовний спосіб;die Konjunktive;language;Konjunktiv;умовний спосіб;noun;кон'юнктів
der Imperativ;наказовий спосіб;die Imperative;language;Imperativ;наказовий спосіб;noun;імператіф
die Person;особа;die Personen;language;Person;особа;noun;перзон
die Zahl;число;die Zahlen;language;Zahl;число;noun;цаль
der Singular;однина;die Singulare;language;Singular;однина;noun;зінґуляр
der Plural;множина;die Plurale;language;Plural;множина;noun;плюраль
das Genus;рід;die Genera;language;Genus;рід;noun;ґенус
das Maskulinum;чоловічий рід;die Maskulina;language;Maskulinum;чоловічий рід;noun;маскулінум
das Femininum;жіночий рід;die Feminina;language;Femininum;жіночий рід;noun;фемінінум
das Neutrum;середній рід;die Neutra;language;Neutrum;середній рід;noun;нойтрум
der Komparativ;вищий ступінь;die Komparative;language;Komparativ;вищий ступінь;noun;компаратіф
der Superlativ;найвищий ступінь;die Superlative;language;Superlativ;найвищий ступінь;noun;зуперлатіф
die Wortart;частина мови;die Wortarten;language;Wort + Art;частина мови;noun;вортарт
das Satzglied;член речення;die Satzglieder;language;Satz + Glied;член речення;noun;зацґлід
das Subjekt;підмет;die Subjekte;language;Subjekt;підмет;noun;зуб'єкт
das Prädikat;присудок;die Prädikate;language;Prädikat;присудок;noun;предикат
das Objekt;додаток;die Objekte;language;Objekt;додаток;noun;об'єкт
der Hauptsatz;головне речення;die Hauptsätze;language;Haupt + Satz;головне речення;noun;гауптзац
die Wortstellung;порядок слів;die Wortstellungen;language;Wort + Stellung;порядок слів;noun;вортштелунґ
die Rechtschreibung;правопис;;language;Recht + Schreibung;правопис;noun;рехтшрайбунґ
die Zeichensetzung;пунктуація;;language;Zeichen + Setzung;пунктуація;noun;цайхензетцунґ
unterbrechen;переривати;;language;unterbrechen;переривати;verb (strong);унтербрехен
stören;заважати;;language;stören;заважати;verb (weak);штерен
nuscheln;бурмотіти;;language;nuscheln;бурмотіти;verb (weak);нушельн
stottern;заїкатися;;language;stottern;заїкатися;verb (weak);штоттерн
schweigen;мовчати;;language;schweigen;мовчати;verb (strong);швайген
zusammenfassen;підсумовувати;;language;zusammenfassen (zu fassen);підсумовувати;verb (separable);цузаменфасен
